timestamp_utc,checkout_requests_per_min,checkout_5xx_rate_pct,db_pool_active,db_pool_max,db_pool_waiters,db_acquire_p95_ms,payment_timeout_rate_pct,payment_success_rate_pct,cpu_pct,shipping_cache_refresh_lag_s
2025-02-18T09:55:00Z,1180,0.2,12,40,0,38,0.1,99.7,41,4
2025-02-18T10:02:00Z,1215,0.3,4,4,0,61,0.1,99.6,43,6
2025-02-18T10:05:00Z,1240,1.4,4,4,2,714,0.1,99.5,44,8
2025-02-18T10:08:00Z,1268,6.8,4,4,14,1810,0.3,99.2,46,14
2025-02-18T10:11:00Z,1281,15.2,4,4,31,1998,0.8,98.4,48,91
2025-02-18T10:14:00Z,1290,28.4,4,4,49,2000,7.5,91.8,49,95
2025-02-18T10:17:00Z,1276,32.1,4,4,55,2000,5.2,93.7,48,90
2025-02-18T10:20:00Z,1259,30.7,4,4,52,2000,3.4,95.5,47,72
2025-02-18T10:23:00Z,1248,27.9,4,4,50,2000,2.6,96.1,46,48
2025-02-18T10:26:00Z,1231,25.8,4,4,47,2000,2.1,96.8,45,25
2025-02-18T10:29:00Z,1218,24.9,4,4,46,2000,1.8,97.1,44,18
2025-02-18T10:32:00Z,1209,22.6,4,4,41,2000,1.5,97.6,43,32
2025-02-18T10:35:00Z,1198,7.9,9,40,8,482,0.7,98.9,42,67
2025-02-18T10:38:00Z,1187,1.2,13,40,0,55,0.2,99.5,41,92
2025-02-18T10:41:00Z,1179,0.3,11,40,0,39,0.1,99.7,40,89
